author,n_pubs,total_citations
Li Y.,46,1147
Zhang Y.,41,477
Wang Y.,35,1052
Li Z.,30,375
Wang X.,29,854
Wang Z.,27,305
Zhang X.,27,446
Wang H.,26,346
Liu J.,26,658
Wang L.,25,344
Li J.,25,165
Zhang H.,25,339
Li X.,24,133
Zhang J.,24,379
Liu Y.,23,276
Wang J.,21,232
Wang C.,19,199
Chen Y.,19,203
"Wang, J",18,127
Li S.,17,573
"Wang, Y",16,482
Li H.,16,167
"Zhang, Y",16,393
Chen J.,16,455
Liu C.,16,167
Liu X.,15,131
Huang Y.,15,132
Wang N.,15,228
Yang Y.,14,171
Liu S.,13,139
"Koshimura, S",13,449
Zhang Z.,13,233
Xu C.,13,153
"Mostafavi, A",13,563
"Li, Y",13,435
"Liu, J",12,183
Wang Q.,12,69
Xu J.,12,117
Kumar A.,12,86
Zhang S.,12,519
Wu J.,12,187
Zhang C.,12,298
Wu Z.,12,161
Zhang L.,12,145
Zhou X.,12,65
Liu Z.,12,211
Liu M.,12,121
Kumar S.,11,19
Singh A.,11,49
Yang J.,11,282
Zhao Y.,11,106
Chen W.,11,1056
Yang X.,11,110
"Xu, C",11,207
Chen X.,11,179
"Li, J",11,236
Li W.,11,92
"Martinis, S",10,381
"Pradhan, B",10,630
"Imran, M",10,513
